"","Tid","BNP","KRE","RUR","RHI"
"165",1992-02-15,-759.113331703531,6610.2920081903,211.649794820801,-18.5999929533623
"166",1992-05-15,-4252.70628583156,121.787993299449,-4341.22924991982,-19.8049069373679
"167",1992-08-15,-3668.20287518959,-8018.31443432661,-7698.33713452499,-21.9070163876747
"168",1992-11-15,-3249.4530388405,-15847.8439867906,-11125.1388121019,-24.7048452121409
"169",1993-02-15,-4923.05491170271,-25646.1246835556,-12860.4359355165,-25.756274733589
"170",1993-05-15,-7007.43895322464,-33285.4627863071,-15944.4821734581,-27.2371903799654
"171",1993-08-15,-7186.82979099015,-36458.932381629,-17240.1716182009,-24.6322324971904
"172",1993-11-15,-5676.35402468696,-42627.9982229858,-12471.0679484991,-21.3501864427992
"173",1994-02-15,-3936.99910751462,-44453.6963571352,-7879.0874418587,-17.0454446457871
"174",1994-05-15,-1574.36249047507,-54544.6211081298,-14846.7043100652,-18.3870487084611
"175",1994-08-15,-4244.88252838522,-71283.5446798863,-24361.3295688107,-20.61514961431
"176",1994-11-15,-625.598611500511,-83945.7226362583,-29976.0827284814,-20.6659375654866
"177",1995-02-15,-1028.9331555362,-91613.4981718244,-33574.6978555846,-19.3933236098481
"178",1995-05-15,-2297.52504624789,-95990.9062431677,-37249.3470513803,-17.6763470425514
"179",1995-08-15,-3891.21050429315,-99346.7417704778,-39882.3932262161,-16.2761623283533
"180",1995-11-15,-1493.84496839975,-100641.467045403,-39706.7638158944,-15.0720402699978
"181",1996-02-15,-2620.37066712741,-99103.6401973702,-37947.1618884935,-14.3963047285436
"182",1996-05-15,-554.288738445674,-103032.200845161,-41261.5471042443,-13.6981810823431
"183",1996-08-15,-929.576487469008,-101973.247254136,-39060.2036335252,-12.0289462072723
"184",1996-11-15,145.194399366444,-109042.331061363,-43476.2349507992,-9.66507627972735
"185",1997-02-15,-1421.85999638245,-105413.984464133,-44391.7281168581,-7.78754538986459
"186",1997-05-15,2313.62481546029,-105251.478988453,-44030.7992743158,-6.72008659344595
"187",1997-08-15,-602.470658396981,-104708.66754431,-42898.1837474282,-5.96509285443331
"188",1997-11-15,2544.55556412193,-105661.732701606,-41003.4349577529,-6.26851391234348
"189",1998-02-15,344.180415554213,-99162.0878394656,-35774.836169935,-4.87453996702927
"190",1998-05-15,-1761.29062166426,-91329.7527255679,-32235.756730492,-2.11184538645923
"191",1998-08-15,363.423183208988,-80927.3857035237,-31483.245185143,-1.82097464442171
