"","Tid","BNP","KRE","RUR","RHI"
"248",2012-11-15,-299.534883016372,-31122.1703716084,-3828.31609258946,-7.07277800285908
"249",2013-02-15,-4990.11931917371,-31841.5825978175,-4867.82952598826,-5.42656097285081
"250",2013-05-15,-1217.06636425411,-18642.1735112717,-5106.57052688687,-2.8351413475614
"251",2013-08-15,-120.030555890003,-13081.8287714072,-3617.74631525177,-3.58169755259605
"252",2013-11-15,-125.782664811675,-12253.2296536434,-2692.68111893698,-4.00672491367411
"253",2014-02-15,-3160.96597721333,-17869.2271304289,-4315.62898168909,-3.2517579933983
"254",2014-05-15,-2385.85974047843,-19283.7086663446,-8345.06575072892,-0.275893754118028
"255",2014-08-15,-147.118100608998,-13058.6104691564,-6309.25903776042,-1.30700505826036
"256",2014-11-15,1678.19767112361,-9070.29010945253,-5121.84593149755,-2.52350326611102
"257",2015-02-15,-1462.72509992008,-4092.29498211898,-4933.10618246492,1.53384858296077
"258",2015-05-15,-796.517827330661,-11628.8081657689,-6450.37569809665,3.79929070312494
"259",2015-08-15,-839.226886863821,-4090.5011470054,-2625.4743023615,2.38238437700621
"260",2015-11-15,-38.9678098774596,4333.7139875006,1494.39324274067,1.56601295061645
"261",2016-02-15,-3049.52624113643,12820.5998486443,-235.93149073472,3.13763365487201
"262",2016-05-15,1826.84872172231,3972.93096744615,-1968.26552229991,3.48507109409655
"263",2016-08-15,-29.8910433961879,3003.35974233221,497.967929674951,3.64340372537525
"264",2016-11-15,4008.23103301681,1014.95058890505,242.717664330394,1.23560869988967
"265",2017-02-15,-185.210778142283,-11050.7103229931,-3421.53166455696,1.66106879037195
"266",2017-05-15,4311.42388580951,-11711.2511222765,-4801.64892149651,3.90915014463955
"267",2017-08-15,-327.932781200462,-17485.9679280993,-6782.5946581007,2.27763808884486
"268",2017-11-15,2750.17987846804,-16965.19321531,-4682.92602684937,0.0166387792033318
"269",2018-02-15,-3322.41323180023,-6386.39158356737,-1948.21867167852,3.2780879026803
"270",2018-05-15,2543.67338148199,-7770.01567758825,-5270.46141332435,2.95323902028915
"271",2018-08-15,919.352335094698,-9710.824019232,-7564.61758075225,0.415227739740737
"272",2018-11-15,5265.3150759524,-203.689256322969,-3480.17284749926,-1.62033539306785
"273",2019-02-15,-1049.93461179383,-1675.86982948351,-656.334609206374,-0.903003691909428
"274",2019-05-15,4126.01020663991,4913.36762723458,3186.10555803848,0.755922275922768
"275",2019-08-15,3976.86129440121,17466.5697648392,7170.14225510851,0.354897311669007
"276",2019-11-15,6648.88069593814,20994.4581182017,6493.15035925767,-1.78369624171825
"277",2020-02-15,-145.840656320448,14869.5548997723,5125.9037642966,-2.84235128673057
"278",2020-05-15,-10960.6886496581,12268.5398253946,6917.80144264478,-1.08290678569743
"279",2020-08-15,-5701.37512557843,12118.5703439297,9251.27974735889,2.27443015068411
